location_id,city,state,latitude,longitude
1,acton,ma,42.485,-71.4333333
2,alto,ga,34.4672222,-83.5738889
3,adel,ga,31.1369444,-83.4236111
4,alamogordo,nm,32.8994444,-105.9597222
5,albany,il,41.7894444,-90.2191667
6,allendale,ca,38.4447222,-121.9419444
7,adel,ia,41.6144444,-94.0172222
8,albion,wi,42.8794444,-89.0697222
9,alpha,nj,40.6669444,-75.1577778
10,acworth,ga,34.0658333,-84.6769444
11,adams,wi,43.9561111,-89.8180556
12,alberton,mt,47.0016667,-114.4725
13,allston,ma,42.3583333,-71.1263889
14,alamo,tx,26.1833333,-98.1227778
15,acampo,ca,38.1747222,-121.2775
16,alden,ny,42.9,-78.4922222
17,addison,il,41.9316667,-87.9888889
18,akin,il,37.9880556,-88.7475
19,albion,in,41.3955556,-85.4244444
20,alden,il,42.4588889,-88.5177778
21,alpine,az,33.8480556,-109.1425
22,alamo,ca,37.8502778,-122.0311111
23,ada,ok,34.7744444,-96.6780556
24,alton,nh,43.4522222,-71.2180556
25,alachua county,fl,29.7513889,-82.425
26,alamo,tn,35.7847222,-89.1172222
27,albany,ga,31.5783333,-84.1558333
28,alto,mi,42.8566667,-85.3802778
29,addison,pa,39.7472222,-79.3394444
30,aloha,or,45.4944444,-122.8658333
31,abingdon,md,39.4622222,-76.2794444
32,ainsworth,ia,41.2888889,-91.5522222
33,altmar,ny,43.51,-76.0025
34,allendale,mi,42.9722222,-85.9536111
35,albion,me,44.5322222,-69.4430556
